Gene,DiffusionScore
TRIM67,0.0027786362484889947
ZRANB1,0.0023697037534625423
PARK2,0.0019562551315157922
RPA1,0.001730890953918785
PLEKHA4,0.0016861321168621017
KIAA1429,0.001683088905309626
MYC,0.0016710891005743275
RPA2,0.0016455508563937595
RPA3,0.0016298704344339008
CUL3,0.0015171319705041472
TRIM25,0.0014419527015266766
APP,0.0013636252301670235
ESR2,0.0013125346111918926
ESR1,0.0012978706689503522
TP53,0.0012547914666725727
HSPA8,0.001234152967509327
CCNF,0.0011737770986425874
ELAVL1,0.001173694134680727
NTRK1,0.00116093532836653
HNRNPL,0.0011351285715719833
UBE2H,0.0011053798098581238
CDC123,0.001062021161104544
RAF1,0.0010454452868153283
DDX58,0.0010308593607498769
KIF14,0.0010256331194318877
ANLN,0.001000868080914798
EGFR,0.000998361224447704
HIST1H4A,0.0009854984405384872
UBC,0.0009458963381821694
TGOLN2,0.0009430526242819781
HNRNPH1,0.0008953680291689576
BRD4,0.0008933559690083589
HSPA1A,0.0008883629726126266
HSPA5,0.0008883517768137009
TIPARP,0.0008678597628332843
CFTR,0.0008635629135494557
TOP3B,0.0008518556748123881
STAU1,0.0008507358107175453
XPO1,0.0008407082805939782
EZH2,0.0008259194240557803
TRIM28,0.0008202774419155324
RNF4,0.0008163303360198002
SERBP1,0.0008017655255683684
EFTUD2,0.0008016711321124143
CEBPB,0.000800920449992969
VCP,0.0007997784219120315
RECQL4,0.0007936372588584201
CIT,0.0007915202736136131
NR2C2,0.0007829706740587393
SOX2,0.0007681787604767933
NXF1,0.0007651328570838017
MYCN,0.0007600923125701529
C9orf72,0.0007451182045117611
EP300,0.0007443715267990193
BIRC3,0.000742822374119014
EGLN3,0.0007395050899273955
MOV10,0.0007373231812230946
CDC42,0.0007356947042018594
CANX,0.0007276603412422866
PARP1,0.0007264128395667969
LMNA,0.0007229161943150364
BAP1,0.0007213597654877847
APEX1,0.0007205301035880135
HSP90AA1,0.0007134203521075847
MECP2,0.0007078946042205144
DDRGK1,0.0006992034791312021
BRCA1,0.0006988099466894213
SQSTM1,0.0006970355040921958
TNIP1,0.0006864326750533138
RHOA,0.0006786995843105394
YWHAZ,0.0006785536978412352
YWHAG,0.0006726455184386251
CEBPA,0.000662674988003318
YWHAE,0.0006621110823286638
KRAS,0.0006620094600202365
DDX39A,0.0006591778148610997
NPM1,0.0006515386461209503
ATG16L1,0.0006486093512998676
PRNP,0.0006420974179017179
ACE2,0.00063455864717149
FZR1,0.0006293923504403704
PHB,0.0006243908702131366
YWHAQ,0.0006222294273081646
YAP1,0.0006154057440264538
LARP7,0.0006136824014424842
COPS5,0.0006131531818638006
YWHAH,0.0006112851519242674
WDR5,0.0006098587567540607
HDAC1,0.0006049811889150711
HUWE1,0.0005971515898762954
MCM2,0.0005949047300680157
KIF20A,0.0005926349312341275
UFL1,0.0005769945784922728
CAPZB,0.0005752778820139464
MEN1,0.000573789555093311
RBM39,0.0005725993413327542
KIF23,0.0005707270525038567
RAC1,0.0005701916167395388
STIP1,0.0005611358195546784
HSPD1,0.0005593200920768124
YWHAB,0.0005551250402733966
ACTB,0.0005549700985468741
SMC5,0.0005524711722040244
LMBR1L,0.0005493610474057632
NR3C1,0.0005488953036800071
NAA40,0.0005483594017693942
HNRNPU,0.000545336501089804
HECTD1,0.0005449160008596427
AR,0.000544710028126491
MAPT,0.0005435226383653195
PRC1,0.0005423494982274873
TNIP2,0.0005400423451008203
SNRNP70,0.000537270913186765
AGR2,0.0005355978958113332
CTNNB1,0.0005343781097071561
OGT,0.0005304254722973985
FBXW7,0.0005303541538350559
PML,0.0005203464053680057
HDAC6,0.0005187069556562311
HNRNPA1,0.0005157315661696288
XRCC6,0.0005125186000008534
RHOG,0.0005117840024032449
HEXIM1,0.0005103110704762389
HSP90AB1,0.0005101387707306999
HIST1H3A,0.0005087394078884046
CHD4,0.0005060382680864303
OBSL1,0.0005052525342412057
RAB7A,0.0005048601291570496
PRMT1,0.0004996137533637776
ECT2,0.0004974107911749983
ILF3,0.0004902781624159598
CUL1,0.0004897675551218329
CSNK2A1,0.00048664146449708083
PPIA,0.0004858209912227075
CYLD,0.00048416539211212396
ZC3H18,0.00048274759907720224
