#rank	DIAMOnD_node	p_hyper
1	HSP90AA1	6.880537102502788e-12
2	SP1	7.113812028354264e-10
3	ARNT	1.0814872818923406e-10
4	PSMD2	4.76710137208873e-10
5	MAPK1	1.1491789474186485e-09
6	THBS1	2.5196539067047394e-09
7	STUB1	3.5567366110037604e-09
8	NCOA3	1.4084637330045441e-09
9	NCOA1	9.318626496064266e-10
10	SMAD3	4.201607448486833e-09
11	SQSTM1	4.2488602349084874e-09
12	CALM1	1.448929177515244e-09
13	AKT1	2.3773268963517484e-09
14	GNG8	5.070988153079433e-09
15	FGA	6.44016165162615e-09
16	KEAP1	8.444000658436114e-09
17	PSMD4	6.3024832952706976e-09
18	PPP1R13L	8.236680290699152e-09
19	NFKB2	1.3873786343995249e-08
20	VCP	5.658714834288363e-09
21	ITGB1	3.378567196525823e-09
22	PSMC5	5.184032605519348e-09
23	HSPA4	1.019619474089968e-08
24	MDM2	3.184869992171609e-09
25	CDKN2A	1.2302558269376337e-09
26	COMMD1	6.48254678295e-10
27	STAT3	4.316728953956102e-09
28	RXRA	1.8480986061420843e-09
29	NFKB1	4.4415213121464327e-10
30	BCL3	2.302728196822869e-10
31	CHUK	7.437019143717983e-10
32	NCOR2	3.3993042654046364e-10
33	CREBBP	2.603080894288518e-10
34	NCOA6	6.074283501155975e-11
35	SRC	2.922948244897342e-11
36	NCOA2	5.333783485873103e-11
37	PGR	6.914517746047025e-12
38	EP300	2.2157604345974463e-11
39	NR1I2	6.920099255501802e-12
40	PPARGC1A	5.1792998074698455e-12
41	RARA	1.482178994569306e-11
42	E2F1	1.3956907389216358e-11
43	KAT2B	1.3706301595271722e-11
44	ESRRA	1.274450058298492e-12
45	CTNNB1	3.457354744307912e-11
46	SIRT1	1.5285391888899106e-11
47	NCOR1	2.8924224790576824e-11
48	NR1H3	1.7743401575997633e-12
49	CCND1	2.5995380966730494e-12
50	HDAC3	2.0494944557982175e-12
