#rank	DIAMOnD_node	p_hyper
1	HSP90AA1	5.483585584296086e-12
2	SP1	6.320943742633662e-10
3	ARNT	9.707339587876951e-11
4	PSMD2	4.1842686759116153e-10
5	MAPK1	1.0101298048968658e-09
6	THBS1	2.340216039714794e-09
7	STUB1	3.0883048701918676e-09
8	NCOA3	1.2840126441323902e-09
9	NCOA1	8.568557042813844e-10
10	SMAD3	3.729053234866354e-09
11	SQSTM1	3.5071619319061557e-09
12	CALM1	1.2557919769970407e-09
13	AKT1	2.0625286044646853e-09
14	GNG8	4.690317733724484e-09
15	FGA	6.013594299444174e-09
16	KEAP1	7.618488806329149e-09
17	PSMD4	5.639862058910606e-09
18	PPP1R13L	7.692273368554236e-09
19	VCP	1.141702041240074e-08
20	NFKB2	1.3743864756894064e-09
21	ITGB1	3.0205370030967643e-09
22	PSMC5	4.552630089667016e-09
23	HSPA4	8.815359616591094e-09
24	MDM2	2.746058081451913e-09
25	CDKN2A	1.093996652526242e-09
26	COMMD1	5.959007845446765e-10
27	STAT3	3.817260027135646e-09
28	RXRA	1.692611406418851e-09
29	NFKB1	3.9598281489514285e-10
30	BCL3	2.1574455273624137e-10
31	CHUK	6.717376652193641e-10
32	NCOR2	3.0420751165186453e-10
33	CREBBP	2.24067167045913e-10
34	NCOA6	5.5225592947708564e-11
35	SRC	2.4876640068505617e-11
36	NCOA2	4.871499038197177e-11
37	PGR	6.370026492020478e-12
38	EP300	1.745214972457188e-11
39	NR1I2	6.441620281039397e-12
40	PPARGC1A	4.77081640891658e-12
41	RARA	1.3338006491879344e-11
42	E2F1	1.2559068041452608e-11
43	KAT2B	1.211924641981027e-11
44	ESRRA	1.1732475516618366e-12
45	CTNNB1	2.814827983091291e-11
46	SIRT1	1.3192930359659336e-11
47	NCOR1	2.5386467788116926e-11
48	NR1H3	1.6421811607501764e-12
49	CCND1	2.274998630164672e-12
50	HDAC3	1.7856349851473263e-12
51	NR0B2	2.2164404051541782e-13
52	STAT1	1.1581869771074129e-12
53	NR1H2	2.4156587534093426e-13
54	PPARD	2.3552134863018124e-14
55	FOXO3	6.448577692948194e-13
56	RB1	7.399880661882559e-13
57	RUNX2	7.239530872995422e-13
58	SKP2	1.268251162145986e-13
59	NFKBIA	1.4781712249567641e-12
60	SMARCA4	6.158355640826045e-13
61	ATF3	1.8860913320662447e-13
62	TP73	2.6183644038825185e-13
63	ETS1	2.8646292361613087e-13
64	UBE2I	6.652219694682903e-13
65	THRB	1.139015193682938e-13
66	HNF4A	1.6301080353590128e-13
67	RXRG	4.322522261458361e-13
68	NRIP1	2.802696073767273e-13
69	NR3C2	3.0858392158641633e-13
70	ABL1	1.1481351844679273e-12
71	PML	1.3981204691927442e-12
72	KAT5	5.125065565944756e-13
73	NBN	6.451123477948697e-13
74	ATF2	1.3355224125600638e-13
75	MDM4	2.531229725370593e-13
76	TP63	8.827623864279209e-14
77	TDG	1.4246686532030557e-13
78	USP7	1.6081949270068827e-13
79	ETS2	2.4434784462829287e-13
80	CREB1	3.467960157038611e-13
81	JUND	7.220042293686562e-14
82	CSNK2A1	1.1716282222498685e-13
83	HDAC1	2.854151049625073e-13
84	NR4A1	6.209217326997532e-14
85	DNMT3L	1.657721257806394e-13
86	SMAD4	5.164207816678461e-13
87	KLF5	8.301290477302801e-14
88	SUMO1	3.873410060918301e-14
89	PIAS1	1.8495651371685962e-14
90	PIAS3	2.705557516422422e-14
91	SP3	1.7838118328958005e-13
92	SMAD2	3.40355334620326e-13
93	GTF2I	1.1958936526761798e-13
94	PIAS2	6.5931927682569e-14
95	PLAGL1	1.476241537697107e-14
96	HDAC4	1.6634497746227815e-13
97	SRF	4.630709013105056e-14
98	CDKN1A	1.6054659797387843e-13
99	NFYA	1.538286357871121e-14
100	ZBTB16	9.180928355723187e-14
