Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,blood vessel diameter maintenance (GO:0097746),18/35,3.001592640642729e-24,9.385980187289815e-21,0,0,74.17039983253088,4017.283890038014,CRP;EDN1;ACE;EDN2;EDN3;NPR1;NOS3;HTR2B;ECE1;AGT;INS;NPPB;ACE2;EDNRA;GCLC;BDKRB2;AGTR1;AGTR2
GO_Biological_Process_2021,positive regulation of multicellular organismal process (GO:0051240),38/345,4.615132120665113e-22,7.215759070659904e-19,0,0,9.197548891135323,451.85287333002486,UCN;NPR1;SERPINE1;UCP1;HTR2B;GATA5;ADRB1;OXT;ADRB2;DBH;TNF;ADRA1A;INS;NPPB;GJA1;UCP2;LEPR;APOE;CD36;FGF21;TGFB1;VDR;CAV1;ADIPOQ;DIO2;AVPR1A;KSR2;AGT;ADRA2A;MTOR;VEGFA;SOD1;COL1A1;IL6;ADRB3;LEP;IL1B;GNAS
GO_Biological_Process_2021,inflammatory response (GO:0006954),32/230,7.906506062238229e-22,8.241214818872981e-19,0,0,11.805243445692884,573.6071704215706,CRP;IL1RN;ALOX15;HP;HMGB1;F11R;AIF1;TNF;CXCL2;RELA;IKBKB;CXCR2;BDKRB2;OLR1;CCL2;CD14;CCR5;AOC3;ANXA1;TGFB1;NOS2;CYBB;CYBA;PPBP;FOS;TACR1;IL6;IL1B;AGTR1;NOX4;AGTR2;TLR4
GO_Biological_Process_2021,cellular response to cytokine stimulus (GO:0071345),43/482,2.9771793232749768e-21,2.327409935970213e-18,0,0,7.369963695899772,348.32888353844385,GSK3B;IL1RN;ALOX15;STK39;INPPL1;BRCA1;PTGS2;HIF1A;AIF1;TNF;CXCL2;RELA;ICAM1;IKBKB;LEPR;HMOX1;CCL2;TIMP1;CD36;CCR5;SLC12A2;EDN2;ANXA1;TGFB1;VCAM1;PTGIS;NOS2;MMP1;HGF;MMP2;FN1;FOS;OXSR1;MMP9;VEGFA;POMC;IL6;WNK1;IL1B;BCL2;TP53;TLR4;NFE2L2
GO_Biological_Process_2021,regulation of cytosolic calcium ion concentration (GO:0051480),26/148,1.4636593558941486e-20,9.153725611762004e-18,0,0,15.28415300546448,698.0389166045358,GLP1R;CALCA;ATP1A2;CACNA1C;HMGB1;ADRA1A;SLC8A1;KNG1;ADCY5;EDNRA;CXCR2;BDKRB2;NPTN;BDKRB1;CD36;DRD2;CCR5;EDN1;TRPC5;EDN2;TRPC3;CAV1;ATP2B3;TACR1;ATP2B1;AGTR1
GO_Biological_Process_2021,negative regulation of inflammatory response (GO:0050728),29/212,1.1493152809714432e-19,5.989848139329504e-17,0,0,11.455616272009715,499.5788575347617,GLP1R;RAMP2;CALCA;PTH;GSTP1;LHB;ADRB1;ADRB2;CRHR2;ADCY5;INS;MC2R;HRH2;APOE;DRD1;PTGIS;PRKCD;ADIPOQ;APOA1;GCG;IGF1;POMC;IL6;PROC;ADRB3;MYH9;PPARG;AVP;PPARA
GO_Biological_Process_2021,cellular response to oxidative stress (GO:0034599),23/125,8.5709215425133825e-19,3.82875309477705e-16,0,0,16.012254901960784,666.1216771501772,JUN;GPX1;NCF1;GPX3;GSTP1;PRKCD;TPM1;UCP1;CYBB;CYBA;FOS;PKD2;SOD2;HIF1A;MMP9;AIF1;SOD3;SOD1;CAT;HMOX1;NOX4;TP53;NFE2L2
GO_Biological_Process_2021,positive regulation of cytosolic calcium ion concentration (GO:0007204),24/147,2.7140985981518993e-18,1.0608732895526234e-15,0,0,13.891263858093126,561.8748376982039,GLP1R;CALCA;EDN1;EDN2;TRPC3;CACNA2D1;CAV1;CACNA1C;HMGB1;TACR1;ADRA1A;SLC8A1;KNG1;ADCY5;EDNRA;CXCR2;AGTR1;BDKRB2;NPTN;BDKRB1;DRD1;CD36;DRD2;CCR5
GO_Biological_Process_2021,regulation of cell population proliferation (GO:0042127),49/764,4.790252354351395e-18,1.6643465680063126e-15,0,0,5.204553846153846,207.55733976789855,EPO;ELN;HTR2B;PTEN;PKD2;CLU;ADRA1A;STK11;KDR;TIMP1;MEN1;EDN1;EDN2;EDN3;AVPR1A;ADRA2A;ACE2;AR;DDAH1;IL1B;AGTR1;SGK1;TP53;NPR3;UMOD;PLG;REG3G;AIF1;RELA;INS;CXCR2;PTK2B;VHL;DRD2;FGF21;JUN;TGFB1;VDR;NOS3;FN1;IGF1;SOD2;AGT;VEGFA;FABP3;IL6;BCL2;NOX4;GNRH1
GO_Biological_Process_2021,blood circulation (GO:0008015),16/51,1.8663911580032e-17,5.836205151076006e-15,0,0,31.76739020696618,1223.6779608102804,GUCY1A1;GPX1;ACE;EDN3;EPO;NPR1;NOS3;ELN;AVPR1A;SOD1;NPPB;ACE2;GCLC;BDKRB2;AGTR1;OLR1
