Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2021,integral component of plasma membrane (GO:0005887),80/1454,2.681790526941613e-25,5.899939159271548e-23,0,0,4.872485095013061,275.6761567478377,GLP1R;NCF1;HTR2B;HTR2A;PKD2;SLC6A2;TNF;ADRA1A;PKD1;SLC8A1;AQP1;ICAM1;IKBKB;GJA1;EDNRA;GJA5;GJA4;KDR;BDKRB2;OLR1;BDKRB1;PRLHR;CD36;CCR5;TRPC5;SLC6A18;TRPC3;ABCC8;CYBB;GP1BA;CYBA;AVPR1A;TACR1;ADRA2B;ADRA2A;TRHR;SCNN1G;CACNB2;ADRB3;STIM1;SCNN1B;SCNN1A;AGTR1;ORAI1;AGTR2;TLR4;RAMP2;NPR3;CLCNKB;CLCNKA;ADRB1;ATP1A2;ADRB2;ATP1A1;CACNA1C;AGER;ADCY5;CRHR2;RASGRP3;MC2R;HRH3;HRH2;KCNMB1;CXCR2;DRD1;DRD2;KCNJ1;HLA-DQA1;SLC12A2;SLC12A3;VCAM1;CAV1;ATP2B3;ATP2B1;PTPRD;SELP;IL6;FXYD2;FAT1;NOX4
GO_Cellular_Component_2021,collagen-containing extracellular matrix (GO:0062023),31/380,1.740380951306133e-14,1.9144190464367467e-12,0,0,6.4139759654449815,203.2081463177581,ELN;SERPINE1;HTRA1;PLAT;PLG;CLU;KNG1;ICAM1;NPPA;CCN2;APOE;TGM2;ANXA1;TGFB1;ANGPT1;VWF;CMA1;F12;MMP2;ADIPOQ;FN1;APOA1;MMP9;SOD3;AGT;COL1A1;F7;COL3A1;COL4A4;COL4A5;COL6A3
GO_Cellular_Component_2021,secretory granule lumen (GO:0034774),27/316,3.083041330556068e-13,2.260896975741116e-11,0,0,6.667565642173825,192.0771617684468,GSTP1;SERPINE1;HP;PLG;RETN;DBH;HMGB1;CLU;KNG1;INS;ALAD;TIMP1;AOC1;TGFB1;VWF;HGF;PRKCD;FN1;APOA1;GCG;PPBP;IGF1;VEGFA;POMC;ALB;CAT;LTF
GO_Cellular_Component_2021,platelet alpha granule (GO:0031091),15/90,4.906974936718407e-12,2.698836215195124e-10,0,0,13.82112676056338,359.9071643615378,TGFB1;VWF;HGF;SERPINE1;FN1;PLG;IGF1;PPBP;CLU;KNG1;VEGFA;SELP;ALB;CD36;TIMP1
GO_Cellular_Component_2021,platelet alpha granule lumen (GO:0031093),13/67,1.7695002376786528e-11,7.785801045786073e-10,0,0,16.53787878787879,409.4404844578214,TGFB1;VWF;HGF;SERPINE1;FN1;PLG;IGF1;PPBP;CLU;KNG1;VEGFA;ALB;TIMP1
GO_Cellular_Component_2021,intracellular organelle lumen (GO:0070013),41/848,3.293294152245913e-11,1.2075411891568344e-09,0,0,3.720613238811562,89.80275890068324,OGG1;GSTP1;LHB;MTTP;HP;UMOD;HMGB1;PTGS2;NR3C1;KNG1;INS;ALAD;ALDH2;APOE;TIMP1;MEN1;TGFB1;GPX1;AGXT2;ERAP1;FN1;DARS2;APOA1;GCG;PPBP;SOD2;MMP9;SOD3;SOD1;COL1A1;ACE2;F7;COL3A1;IL6;PROC;COL4A4;ALB;CAT;COL4A5;COL6A3;LTF
GO_Cellular_Component_2021,endoplasmic reticulum lumen (GO:0005788),21/285,2.181143863689645e-09,6.855023571596027e-08,0,0,5.561600719424461,110.91731894041487,MTTP;ERAP1;FN1;APOA1;GCG;PTGS2;KNG1;INS;COL1A1;ACE2;F7;COL3A1;IL6;PROC;COL4A4;ALB;COL4A5;COL6A3;APOE;TIMP1;MEN1
GO_Cellular_Component_2021,cation channel complex (GO:0034703),9/73,1.3889212840982392e-06,3.819533531270158e-05,0,0,9.522252155172414,128.42645452601187,SCNN1G;TRPC5;TRPC3;SCNN1B;SCNN1A;ORAI1;PTK2B;PKD2;PKD1
GO_Cellular_Component_2021,extracellular membrane-bounded organelle (GO:0065010),8/56,1.7316039556714931e-06,4.232809669419205e-05,0,0,11.256013745704468,149.32748354750336,SLC12A2;APOA1;COL6A3;ATP2B3;ATP1A2;ATP1A1;APOE;AQP1
GO_Cellular_Component_2021,membrane raft (GO:0045121),12/163,6.508857867566102e-06,0.00014319487308645423,0,0,5.413388097930175,64.64855672875177,ACE2;GJA1;STIM1;ANGPT1;CAV1;KDR;ORAI1;CD14;CD36;ATP1A1;TNF;ADD2
GO_Cellular_Component_2021,vesicle (GO:0031982),14/226,8.327621318344938e-06,0.00016655242636689875,0,0,4.51582257530619,52.81675691953391,SLC12A2;ANXA1;NOS2;NOS3;GSTP1;GAD1;APOA1;ATP2B3;ECE1;ATP1A2;ATP1A1;ABO;COL6A3;APOE
GO_Cellular_Component_2021,NADPH oxidase complex (GO:0043020),4/12,2.204671400947129e-05,0.00040418975684030695,0,0,33.37796610169492,357.89013441925425,NCF1;CYBB;NOX4;CYBA
GO_Cellular_Component_2021,extracellular vesicle (GO:1903561),7/59,2.7286073947348813e-05,0.00046176432833974914,0,0,9.0584167544784,95.19611638605888,SLC12A2;APOA1;COL6A3;ATP2B3;ATP1A2;ATP1A1;APOE
GO_Cellular_Component_2021,intrinsic component of presynaptic membrane (GO:0098889),3/5,3.235217213126368e-05,0.0005083912763484292,0,0,99.82601351351352,1032.0841228557276,ATP2B3;ATP2B1;DRD2
GO_Cellular_Component_2021,calcium channel complex (GO:0034704),6/45,5.296232966619021e-05,0.000776780835104123,0,0,10.323969545812549,101.64907794082714,CACNB2;TRPC5;CACNA2D1;ORAI1;CACNA1C;PKD1
GO_Cellular_Component_2021,cytoplasmic vesicle lumen (GO:0060205),9/115,5.821038354591203e-05,0.0008003927737562904,0,0,5.736987638256344,55.94392979088071,ALAD;POMC;GSTP1;CAT;APOA1;GCG;DBH;HMGB1;INS
GO_Cellular_Component_2021,cell projection membrane (GO:0031253),8/92,7.129382762623008e-05,0.0009226260045747422,0,0,6.420225822287678,61.30481546695664,SLC12A2;ACE2;SCNN1A;CD36;DRD1;DRD2;PKD1;AQP1
GO_Cellular_Component_2021,cation-transporting ATPase complex (GO:0090533),4/16,7.731815604671223e-05,0.0009449996850153717,0,0,22.24745762711865,210.6296238643268,ABCC8;FXYD2;ATP1A2;ATP1A1
GO_Cellular_Component_2021,integral component of presynaptic membrane (GO:0099056),3/7,0.00011073806282638392,0.0012822302011476,0,0,49.90793918918919,454.57862554940647,ATP2B3;ATP2B1;DRD2
GO_Cellular_Component_2021,endocytic vesicle membrane (GO:0030666),10/158,0.0001368868217542506,0.0015057550392967,0,0,4.571448611240998,40.66923470252917,ACE2;NOS3;CAV1;CYBB;CYBA;ADRB2;APOE;CD36;AVP;HLA-DQA1
GO_Cellular_Component_2021,high-density lipoprotein particle (GO:0034364),4/19,0.0001589358575671526,0.0016650423173701,0,0,17.795254237288134,155.65526407303383,PON1;APOA1;APOE;CLU
GO_Cellular_Component_2021,integral component of synaptic membrane (GO:0099699),3/8,0.00017522015731412344,0.0016760188960481,0,0,39.92432432432432,345.32413903203826,ATP2B3;ATP2B1;DRD2
GO_Cellular_Component_2021,spherical high-density lipoprotein particle (GO:0034366),3/8,0.00017522015731412344,0.0016760188960481,0,0,39.92432432432432,345.32413903203826,PON1;APOA1;CLU
GO_Cellular_Component_2021,plasma membrane raft (GO:0044853),7/82,0.0002269666039027772,0.0019531031254658,0,0,6.273150684931507,52.63617357136756,PTGIS;STIM1;NOS3;CAV1;ORAI1;CD36;ADD2
GO_Cellular_Component_2021,dendrite (GO:0030425),13/270,0.0002273737594850997,0.0019531031254658,0,0,3.4389812522108243,28.84932270771868,GSK3B;HTR2B;HTR2A;COMT;CLU;SLC8A1;CRHR2;SOD1;HRH3;HRH2;PTK2B;APOE;DRD2
GO_Cellular_Component_2021,connexin complex (GO:0005922),4/21,0.0002396990199435368,0.0019531031254658,0,0,15.700099700897308,130.87801725111697,GJC1;GJA1;GJA5;GJA4
GO_Cellular_Component_2021,endocytic vesicle lumen (GO:0071682),4/21,0.0002396990199435368,0.0019531031254658,0,0,15.700099700897308,130.87801725111697,HP;APOA1;APOE;LTF
GO_Cellular_Component_2021,sodium:potassium-exchanging ATPase complex (GO:0005890),3/10,0.0003672157308967665,0.002885266457046,0,0,28.514478764478763,225.5370108817964,FXYD2;ATP1A2;ATP1A1
GO_Cellular_Component_2021,gap junction (GO:0005921),4/24,0.0004108053978157052,0.0031164547420501,0,0,13.343050847457627,104.0409837930024,GJC1;GJA1;GJA5;GJA4
GO_Cellular_Component_2021,endocytic vesicle (GO:0030139),10/189,0.000575291948611271,0.0040994834060064,0,0,3.7737526821441687,28.15458345198786,ACE2;NOS3;CAV1;HP;APOA1;APOE;CD36;AVPR1A;HLA-DQA1;MTOR
GO_Cellular_Component_2021,glutamatergic synapse (GO:0098978),6/69,0.0005776544799372779,0.0040994834060064,0,0,6.383227693807899,47.59675850077808,PTPRD;GSK3B;ATP2B3;APOE;ATP2B1;DRD2
GO_Cellular_Component_2021,cytoplasmic vesicle membrane (GO:0030659),15/380,0.0006406811858216387,0.0044046831525237,0,0,2.7979934400926103,20.573585873353004,SLC12A2;NOS3;CAV1;ADRB2;DBH;PKD1;ACE2;GJA1;CXCR2;CD14;CD36;TLR4;ITM2B;HLA-DQA1;MYD88
GO_Cellular_Component_2021,Golgi lumen (GO:0005796),7/100,0.0007608704345059889,0.0050724695633732,0,0,5.054352629253204,36.29554616831192,F7;TGFB1;PROC;LHB;UMOD;SOD3;INS
GO_Cellular_Component_2021,cilium (GO:0005929),11/237,0.0009216174367479524,0.0059634069436632,0,0,3.2913132989183875,23.004240490963607,ANXA1;GRK2;SCNN1A;NPHP3;PRLHR;UMOD;DRD1;DRD2;PKD2;PKD1;ADCY5
GO_Cellular_Component_2021,ciliary membrane (GO:0060170),4/31,0.001120462674854,0.006847271901886,0,0,9.880225988700564,67.12638950543031,SCNN1A;DRD1;DRD2;PKD1
GO_Cellular_Component_2021,intercalated disc (GO:0014704),4/31,0.001120462674854,0.006847271901886,0,0,9.880225988700564,67.12638950543031,GJC1;GJA1;GJA5;SLC8A1
GO_Cellular_Component_2021,cytoplasmic side of plasma membrane (GO:0009898),5/55,0.0013635896959305,0.0081078306244518,0,0,6.684013605442177,44.098679258010606,IKBKB;RGS2;TH;PTEN;MYH9
GO_Cellular_Component_2021,ion channel complex (GO:0034702),4/35,0.0017792081804212,0.0103006789392806,0,0,8.603608529250957,54.47449467892036,TRPC5;TRPC3;PKD2;PKD1
GO_Cellular_Component_2021,basolateral plasma membrane (GO:0016323),8/151,0.0019967577059166,0.0112637614179915,0,0,3.759978852762358,23.372895453046905,ABCC1;MTTP;UMOD;ATP1A1;ATP2B1;PKD1;ADRA2A;AQP1
GO_Cellular_Component_2021,neuronal dense core vesicle (GO:0098992),2/5,0.0021621848104929,0.0116019672758159,0,0,44.215488215488215,271.3343603732352,CHGA;NPY
GO_Cellular_Component_2021,sorting endosome (GO:0097443),2/5,0.0021621848104929,0.0116019672758159,0,0,44.215488215488215,271.3343603732352,PTPN1;KDR
GO_Cellular_Component_2021,endoplasmic reticulum membrane (GO:0005789),21/712,0.0025045090184795,0.0131188567634644,0,0,2.078158023508834,12.447465316033435,CYP2J2;PTPN1;PTGIS;CAV1;HSD3B1;CYP4A11;CYBB;CYBA;FMO3;PTGS2;PKD2;GJC1;HSD11B1;CYP2C9;HSD11B2;GJA1;STIM1;CYP2R1;CYP1A1;NOX4;HMOX1
GO_Cellular_Component_2021,specific granule (GO:0042581),8/160,0.0028600913839718,0.0146330256854371,0,0,3.535720745161874,20.708368850924288,AOC1;HP;CYBB;OLR1;CYBA;CD36;RETN;LTF
GO_Cellular_Component_2021,myosin filament (GO:0032982),2/6,0.0032112894975567,0.0160564474877838,0,0,33.15993265993266,190.37391605441363,MYH9;MYH7
GO_Cellular_Component_2021,phagocytic vesicle (GO:0045335),6/100,0.0039118787716254,0.0191247406612799,0,0,4.271367366204342,23.67933951323472,NCF1;CYBB;CYBA;CD36;MTOR;LTF
GO_Cellular_Component_2021,neuron projection (GO:0043005),17/556,0.0044174081971424,0.0211267348558987,0,0,2.143146620350268,11.62057418180561,SLC12A2;GSK3B;HTR2B;PTEN;HTR2A;PTGS2;COMT;SLC6A2;SLC8A1;CRHR2;TH;HRH3;HRH2;NPTN;PTK2B;APOE;DRD2
GO_Cellular_Component_2021,cell-cell contact zone (GO:0044291),4/47,0.0052693618621094,0.024317983116147,0,0,6.198817500985416,32.51804207003534,GJC1;GJA1;GJA5;SLC8A1
GO_Cellular_Component_2021,Golgi-associated vesicle membrane (GO:0030660),3/24,0.0053057417707957,0.024317983116147,0,0,9.498069498069498,49.760060239165455,GJA1;PKD1;ITM2B
GO_Cellular_Component_2021,bounding membrane of organelle (GO:0098588),21/767,0.0058508573758032,0.0257242322480042,0,0,1.9193733485061817,9.867819051517412,NOS3;CAV1;HSD3B1;ADRB2;DBH;PKD1;ABO;INS;ACE2;GJA1;STIM1;CXCR2;SCNN1A;CD14;CD36;DRD1;DRD2;TLR4;ITM2B;HLA-DQA1;MYD88
GO_Cellular_Component_2021,extrinsic component of external side of plasma membrane (GO:0031232),2/8,0.0058769548979969,0.0257242322480042,0,0,22.104377104377104,113.54391916247398,ANXA1;PLG
GO_Cellular_Component_2021,sodium channel complex (GO:0034706),3/25,0.0059633447484009,0.0257242322480042,0,0,9.06587837837838,46.4365510101936,SCNN1G;SCNN1B;SCNN1A
GO_Cellular_Component_2021,early endosome (GO:0005769),10/266,0.0069452209996609,0.0293836273062578,0,0,2.6282709775086506,13.061722171698149,AOC3;PTPN1;ANXA1;VCAM1;CAV1;KDR;APOA1;ADRB1;APOE;LTF
GO_Cellular_Component_2021,sarcolemma (GO:0042383),4/52,0.0075468349400025,0.0313264846566145,0,0,5.551694915254237,27.129062362247485,CAV1;ATP1A1;SLC8A1;AQP1
GO_Cellular_Component_2021,cell-cell junction (GO:0005911),10/271,0.0078701046902025,0.0320633894786028,0,0,2.577258083760888,12.486000781141737,GJC1;GJA1;ANXA1;GJA5;GJA4;FAT1;F11R;PKD2;ADD1;VEGFA
GO_Cellular_Component_2021,tertiary granule lumen (GO:1904724),4/55,0.0091826111464873,0.0357422319877025,0,0,5.22432701894317,24.50441162829596,HP;PPBP;MMP9;LTF
GO_Cellular_Component_2021,apical dendrite (GO:0097440),2/10,0.009260487378632,0.0357422319877025,0,0,16.576599326599325,77.61161482377749,PTK2B;CLU
GO_Cellular_Component_2021,chylomicron (GO:0042627),2/10,0.009260487378632,0.0357422319877025,0,0,16.576599326599325,77.61161482377749,APOA1;APOE
GO_Cellular_Component_2021,microvillus (GO:0005902),4/57,0.010392029215587,0.0394180418522266,0,0,5.026670930604413,22.955379511868,AOC3;TGFB1;VCAM1;ANGPT1
GO_Cellular_Component_2021,voltage-gated calcium channel complex (GO:0005891),3/31,0.0109125832351507,0.0406909883344603,0,0,7.12101833976834,32.171612454868864,CACNB2;CACNA2D1;CACNA1C
GO_Cellular_Component_2021,clathrin-coated vesicle membrane (GO:0030665),5/90,0.0113026115215782,0.0414429089124536,0,0,3.9247699079631855,17.593650338540236,GAD1;AVP;ADRB2;APOE;HLA-DQA1
GO_Cellular_Component_2021,tertiary granule (GO:0070820),7/164,0.0118415197528073,0.0422632372551126,0,0,2.9842073117529013,13.23837127262782,HP;CYBB;OLR1;CYBA;PPBP;MMP9;LTF
GO_Cellular_Component_2021,non-motile cilium (GO:0097730),3/32,0.0119105486809862,0.0422632372551126,0,0,6.875116495806151,30.45904055569821,DRD1;PKD2;DRD2
GO_Cellular_Component_2021,caveola (GO:0005901),4/60,0.0123917744143652,0.0432728630342913,0,0,4.756658595641646,20.88516735070117,PTGIS;NOS3;CAV1;CD36
GO_Cellular_Component_2021,specific granule lumen (GO:0035580),4/62,0.0138525667042563,0.0476181980458812,0,0,4.592168322618352,19.651195835271228,AOC1;HP;RETN;LTF
