Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2021,hormone activity (GO:0005179),22/78,2.1340636073685333e-22,9.77401132174788e-20,0,0,27.86165549252192,1390.2644034213254,UCN;EDN1;EDN2;EDN3;PTH;ADIPOQ;LHB;OXT;GCG;TRH;IGF1;AGT;INS;NPPB;POMC;NPPC;GAL;NPY;LEP;NPPA;GNRH1;AVP
GO_Molecular_Function_2021,receptor ligand activity (GO:0048018),28/307,2.1410613570819272e-14,4.903030507717612e-12,0,0,7.192477086061183,226.38242248300529,PTH;EPO;LHB;HMGB1;TNF;INS;NPPB;NPPC;NPY;NPPA;TIMP1;FGF21;EDN1;EDN2;TGFB1;EDN3;HGF;ADIPOQ;APOA1;GCG;IGF1;AGT;VEGFA;POMC;IL6;LEP;IL1B;GNRH1
GO_Molecular_Function_2021,protein heterodimerization activity (GO:0046982),20/188,7.563005382875968e-12,1.154618821785731e-09,0,0,8.334613415258577,213.4307172487188,AOC3;TPM1;MTTP;CYBB;CYBA;ADRB1;ATP1A2;AHR;ATP1A1;HIF1A;ADRA1A;ADRA2A;ADD1;ADD2;IKBKB;AGTR1;BCL2;BDKRB2;TP53;TLR4
GO_Molecular_Function_2021,G protein-coupled receptor activity (GO:0004930),22/283,3.2403482991083275e-10,3.710198802479035e-08,0,0,5.9155981575999,129.2568260234167,GLP1R;NPR1;NPR3;ADRB1;AVPR1A;ADRB2;ADRA1A;ADRA2B;ADRA2A;TRHR;CRHR2;MC2R;ADRB3;NPY;CXCR2;AGTR1;BDKRB2;BDKRB1;PRLHR;AGTR2;DRD1;DRD2
GO_Molecular_Function_2021,serine-type endopeptidase activity (GO:0004252),14/105,5.573300814950061e-10,4.6390739720306516e-08,0,0,10.585695006747638,225.55854368062444,CELA2A;KLK1;CMA1;HGF;MMP2;F12;F11;HP;PLAT;PLG;MMP9;F7;PROC;CORIN
GO_Molecular_Function_2021,serine-type peptidase activity (GO:0008236),15/125,6.077389483009586e-10,4.6390739720306516e-08,0,0,9.40669014084507,199.6219647858693,CELA2A;KLK1;CMA1;HGF;MMP2;F12;F11;HP;HTRA1;PLAT;PLG;MMP9;F7;PROC;CORIN
GO_Molecular_Function_2021,heme binding (GO:0020037),13/91,9.70612665218349e-10,6.350580009571483e-08,0,0,11.435314685314683,237.31815635499825,CYP2J2;PTGIS;NOS2;NOS3;CYBB;PTGS2;CYP2C9;CBS;CYP11B2;CYP2R1;CAT;HMOX1;NOX4
GO_Molecular_Function_2021,protein homodimerization activity (GO:0042803),32/636,2.1816440912046717e-09,1.2489912422146744e-07,0,0,3.7893692487040207,75.57209981978978,PON1;NPR3;LPL;ECE1;ADRB2;AHR;F11R;PKD2;RELA;ADD1;ADD2;HSD11B1;IKBKB;CBS;CYP2R1;HMOX1;APOE;XDH;AOC1;GCH1;NOS2;GLCE;EPHX2;ADIPOQ;TPM1;DARS2;ADRA2A;VEGFA;ADRB3;CAT;BCL2;MYH9
GO_Molecular_Function_2021,protease binding (GO:0002020),14/118,2.663654483296385e-09,1.355504170388605e-07,0,0,9.25634278002699,182.75322191916936,GSK3B;VWF;SERPINE1;FN1;PTEN;TNF;INS;COL1A1;COL3A1;STIM1;BCL2;BDKRB2;TIMP1;TP53
GO_Molecular_Function_2021,transition metal ion binding (GO:0046914),25/445,1.6206125299141024e-08,7.422405387006588e-07,0,0,4.188607924921794,75.13473192087336,ALOX15;ECE1;DBH;ABO;KNG1;ALAD;CYP2R1;TIMP1;AOC3;PTPN1;AOC1;ACE;GCH1;NOS3;ERAP1;SOD2;MMP9;SOD3;ATOX1;SOD1;ACE2;ALB;PPARG;TP53;LTF
GO_Molecular_Function_2021,G protein-coupled peptide receptor activity (GO:0008528),11/82,3.78742668988741e-08,1.5769467490622124e-06,0,0,10.55995696400626,180.45904044956063,GLP1R;EDNRA;MC2R;NPR1;NPR3;BDKRB2;BDKRB1;PRLHR;GP1BA;AVPR1A;CRHR2
GO_Molecular_Function_2021,copper ion binding (GO:0005507),8/45,3.0299352064059895e-07,1.0771833424451807e-05,0,0,14.610569332218816,219.29813543615143,AOC3;AOC1;ALB;DBH;SOD3;TP53;ATOX1;SOD1
GO_Molecular_Function_2021,endopeptidase activity (GO:0004175),19/315,3.057507303883701e-07,1.0771833424451807e-05,0,0,4.448540057915058,66.73030589232518,CELA2A;ACE;KLK1;CMA1;MMP1;F12;HGF;MMP2;F11;HP;PLAT;ECE1;PLG;MMP9;ACE2;F7;PROC;REN;CORIN
GO_Molecular_Function_2021,epinephrine binding (GO:0051379),4/6,7.172746417533398e-07,2.346512756593069e-05,0,0,133.55254237288136,1889.475597429696,ADRB3;RNLS;ADRA2B;ADRA2A
GO_Molecular_Function_2021,calcium ion transmembrane transporter activity (GO:0015085),8/55,1.503566272148577e-06,4.590889017626988e-05,0,0,11.496088323462748,154.1357672333104,CACNB2;TRPC5;TRPC3;ORAI1;ATP2B3;ATP2B1;PKD2;PKD1
GO_Molecular_Function_2021,neuropeptide hormone activity (GO:0005184),6/26,1.900284338684109e-06,5.439563919483263e-05,0,0,20.151194539249147,265.4619029468471,UCN;GAL;NPY;NPPA;OXT;AVP
GO_Molecular_Function_2021,cytokine activity (GO:0005125),13/173,2.135048216326361e-06,5.7520710769263146e-05,0,0,5.551420454545455,72.48501527447013,EDN1;TGFB1;EPO;ADIPOQ;PPBP;HMGB1;TNF;CXCL2;VEGFA;IL6;IL1B;CCL2;TIMP1
GO_Molecular_Function_2021,"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor (GO:0016641)",4/9,5.814718799559684e-06,0.00014016532685254396,0,0,53.41288135593221,643.8985944593386,AOC3;AOC1;VCAM1;RNLS
GO_Molecular_Function_2021,potassium channel inhibitor activity (GO:0019870),4/9,5.814718799559684e-06,0.00014016532685254396,0,0,53.41288135593221,643.8985944593386,WNK1;CAV1;WNK4;NEDD4L
GO_Molecular_Function_2021,protein kinase binding (GO:0019901),22/506,8.4114049851535e-06,0.0001926211741600152,0,0,3.1534296028880866,36.850732487501766,SLC12A2;DUSP5;PTPN1;GSK3B;ACE;GCH1;GSTP1;CAV1;PRKCD;PRKAG2;AVPR1A;OXSR1;NR3C1;HIF1A;PKD1;RELA;ADRA2A;ADD2;IKBKB;WNK1;NOX4;TP53
GO_Molecular_Function_2021,G protein-coupled receptor binding (GO:0001664),11/143,1.0429847295882308e-05,0.00022747000292924272,0,0,5.662326388888889,64.95163397554475,POMC;CALCA;GRK2;ACE;PTH;NPY;NPPA;AGTR1;GNAS;OXT;GCG
GO_Molecular_Function_2021,Hsp90 protein binding (GO:0051879),6/35,1.1964478257887152e-05,0.00024044376134729864,0,0,13.891020360127104,157.43482999804323,SLC12A2;KDR;CYP1A1;AHR;NR3C1;HIF1A
GO_Molecular_Function_2021,hormone receptor binding (GO:0051427),5/21,1.2074686705213684e-05,0.00024044376134729864,0,0,20.923681972789115,236.9481295802371,NPPB;NPPC;PTH;LEP;NPPA
GO_Molecular_Function_2021,superoxide-generating NAD(P)H oxidase activity (GO:0016175),4/11,1.487271816006718e-05,0.00028382103822128195,0,0,38.14818401937046,424.0545276284072,NCF1;CYBB;NOX4;CYBA
GO_Molecular_Function_2021,cation channel activity (GO:0005261),9/98,1.6250560520417114e-05,0.00029771026873404155,0,0,6.8387446726075165,75.4134578123965,CACNB2;SCNN1G;TRPC5;TRPC3;ABCC8;ORAI1;PKD2;PKD1;AQP1
GO_Molecular_Function_2021,transcription regulatory region nucleic acid binding (GO:0001067),13/212,1.9486130080701117e-05,0.00034325567603696577,0,0,4.454545454545454,48.31314304962624,JUN;GATA5;BRCA1;FOS;AHR;HMGB1;TNF;RELA;AR;PPARG;TP53;MEN1;NFE2L2
GO_Molecular_Function_2021,amyloid-beta binding (GO:0001540),8/80,2.5915338825557385e-05,0.000439600932670566,0,0,7.494845360824742,79.15063001752844,APOA1;CD36;ADRB2;APOE;CLU;TLR4;AGER;ITM2B
GO_Molecular_Function_2021,voltage-gated calcium channel activity involved in cardiac muscle cell action potential (GO:0086007),3/5,3.235217213126368e-05,0.0005109412012454747,0,0,99.82601351351352,1032.0841228557276,CACNB2;CACNA2D1;CACNA1C
GO_Molecular_Function_2021,gap junction channel activity involved in cardiac conduction electrical coupling (GO:0086075),3/5,3.235217213126368e-05,0.0005109412012454747,0,0,99.82601351351352,1032.0841228557276,GJC1;GJA1;GJA5
GO_Molecular_Function_2021,calcium channel activity (GO:0005262),8/84,3.7015651325850246e-05,0.0005651056102413137,0,0,7.098932899258456,72.43871617720824,CACNB2;TRPC5;TRPC3;CACNA2D1;ORAI1;CACNA1C;PKD2;PKD1
GO_Molecular_Function_2021,peptide hormone receptor binding (GO:0051428),4/14,4.354155149759687e-05,0.0006370221111106429,0,0,26.699661016949157,268.1125190026529,PTH;UCN2;LEP;GNRH1
