Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Signal Transduction R-HSA-162582,114/2465,1.8694644330434963e-30,1.5927836969530586e-27,0,0,4.547576074585858,311.29022633535334,NCF1;SERPINE1;PLAT;F11R;NR3C1;TNF;RGS5;GJA1;STK11;EDNRA;KDR;IER3;MEN1;PRKCD;CYBB;CYBA;TRHR;COL4A4;AGTR1;COL4A5;UTS2;AGTR2;TP53;CALCA;LHB;NEDD4L;ADRB1;ADRB2;HIF1A;KNG1;CRHR2;RASGRP3;MC2R;GRK2;HRH3;HRH2;APOE;DRD1;DRD2;JUN;TGFB1;CAV1;FN1;PPBP;IGF1;ESR2;MOV10;IL6;PROC;GNAS;BCL2;GNRH1;GNB3;MYD88;GLP1R;UCN;GSK3B;PTEN;PRKAG2;OXT;MTR;ECE1;TRH;HTR2A;CXCL2;ADRA1A;IKBKB;UCN2;BDKRB2;BDKRB1;PRLHR;CCR5;VAV3;DUSP5;EDN1;EDN2;ANXA1;EDN3;TRPC3;VWF;MMP2;AVPR1A;TACR1;FOS;KSR2;ADRA2B;MMP9;ADRA2A;GAL;ADRB3;COL6A3;MYH9;PPARG;SGK1;RAMP2;PLG;RELA;ADCY5;INS;NPY;CXCR2;PTK2B;CCL2;VHL;CHGA;PTPN1;ANGPT1;CMA1;GCG;MTOR;VEGFA;POMC;RPS6KB1;LEP
Reactome_2022,GPCR Ligand Binding R-HSA-500792,50/458,1.0571935081300743e-28,4.503644344634118e-26,0,0,9.49533427828963,611.6587152887082,GLP1R;UCN;OXT;ECE1;TRH;HTR2A;CXCL2;ADRA1A;EDNRA;UCN2;BDKRB2;BDKRB1;PRLHR;CCR5;EDN1;EDN2;ANXA1;EDN3;AVPR1A;TACR1;ADRA2B;ADRA2A;TRHR;GAL;ADRB3;AGTR1;UTS2;AGTR2;RAMP2;CALCA;LHB;ADRB1;ADRB2;KNG1;CRHR2;MC2R;HRH3;HRH2;NPY;CXCR2;CCL2;DRD1;DRD2;CHGA;GCG;PPBP;POMC;GNAS;GNRH1;GNB3
Reactome_2022,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,41/327,5.98283352666986e-26,1.6991247215742402e-23,0,0,10.787865235539654,626.5410690739851,LHB;ADRB1;OXT;ECE1;ADRB2;TRH;HTR2A;CXCL2;ADRA1A;KNG1;MC2R;EDNRA;HRH3;HRH2;NPY;CXCR2;BDKRB2;BDKRB1;PRLHR;CCL2;DRD1;CCR5;DRD2;CHGA;EDN1;EDN2;ANXA1;EDN3;PPBP;AVPR1A;TACR1;ADRA2B;ADRA2A;TRHR;POMC;GAL;ADRB3;AGTR1;GNRH1;UTS2;AGTR2
Reactome_2022,Signaling By GPCR R-HSA-372790,56/689,1.4273577563986582e-25,3.040272021129142e-23,0,0,6.941977258986211,397.1422046673718,GLP1R;UCN;OXT;ECE1;TRH;HTR2A;CXCL2;ADRA1A;RGS5;EDNRA;UCN2;BDKRB2;BDKRB1;PRLHR;CCR5;VAV3;EDN1;EDN2;ANXA1;EDN3;TRPC3;PRKCD;AVPR1A;TACR1;ADRA2B;ADRA2A;TRHR;GAL;ADRB3;AGTR1;UTS2;AGTR2;RAMP2;CALCA;LHB;ADRB1;ADRB2;KNG1;ADCY5;CRHR2;MC2R;GRK2;HRH3;HRH2;NPY;CXCR2;CCL2;DRD1;DRD2;CHGA;GCG;PPBP;POMC;GNAS;GNRH1;GNB3
Reactome_2022,GPCR Downstream Signaling R-HSA-388396,49/619,6.876964764010963e-22,1.171834795787468e-19,0,0,6.578378947368421,320.5558190794085,GLP1R;OXT;TRH;HTR2A;CXCL2;ADRA1A;RGS5;EDNRA;BDKRB2;BDKRB1;CCR5;VAV3;EDN1;EDN2;ANXA1;EDN3;TRPC3;PRKCD;AVPR1A;TACR1;ADRA2B;ADRA2A;TRHR;GAL;ADRB3;AGTR1;UTS2;AGTR2;RAMP2;CALCA;LHB;ADRB1;ADRB2;KNG1;ADCY5;CRHR2;MC2R;GRK2;HRH2;NPY;CXCR2;DRD1;CHGA;GCG;PPBP;POMC;GNAS;GNRH1;GNB3
Reactome_2022,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,23/107,2.0597891524602742e-20,2.924900596493589e-18,0,0,19.46130952380953,882.1636111960877,TGFB1;VCAM1;ANXA1;MMP1;MMP2;ALOX15;FN1;FOS;PTGS2;TNF;HIF1A;MMP9;ICAM1;VEGFA;POMC;IL6;IL1B;BCL2;HMOX1;CCL2;CD36;TIMP1;TP53
Reactome_2022,Peptide Ligand-Binding Receptors R-HSA-375276,27/196,1.8316297205839246e-18,2.2293550313392907e-16,0,0,11.472415593456317,468.5486600473935,ECE1;OXT;TRH;CXCL2;KNG1;EDNRA;MC2R;NPY;CXCR2;BDKRB2;BDKRB1;PRLHR;CCL2;CCR5;EDN1;ANXA1;EDN2;EDN3;PPBP;AVPR1A;TACR1;TRHR;POMC;GAL;AGTR1;UTS2;AGTR2
Reactome_2022,Hemostasis R-HSA-109582,43/576,2.605567306781314e-18,2.7749291817220994e-16,0,0,6.040572232645403,244.57601178716584,SERPINE1;GATA5;PLAT;PLG;F11R;CLU;SLC8A1;KNG1;KCNMB1;OLR1;TIMP1;CD36;VAV3;PTPN1;GUCY1A1;TGFB1;TRPC3;ANGPT1;VWF;MMP1;F12;CAV1;PRKCD;FN1;APOA1;ATP2B3;GP1BA;PPBP;IGF1;ATP2B1;KIF6;ADRA2B;ADRA2A;VEGFA;SOD1;F7;PROC;STIM1;ALB;GNAS;ORAI1;GNB3;TP53
Reactome_2022,Signaling By Interleukins R-HSA-449147,35/453,1.6662587075334885e-15,1.5773915764650358e-13,0,0,6.115929027113237,208.1140290671348,IL1RN;ALOX15;INPPL1;HMGB1;PTGS2;HIF1A;TNF;AGER;CXCL2;RELA;ICAM1;IKBKB;HMOX1;PTK2B;CCL2;TIMP1;CD36;CCR5;JUN;ANXA1;TGFB1;VCAM1;MMP1;MMP2;FN1;FOS;MMP9;VEGFA;SOD1;POMC;IL6;IL1B;BCL2;TP53;MYD88
Reactome_2022,Disease R-HSA-1643685,70/1736,9.050306287884354e-15,7.71086095727747e-13,0,0,3.309052878793439,107.00146040719584,GLP1R;GSK3B;OGG1;PTEN;MTR;BRCA1;HMGB1;COMT;NR3C1;SLC6A2;IKBKB;GJA1;CYP2R1;KDR;CD36;CCR5;VAV3;SLC6A18;VWF;ABCC8;APOA1;GP1BA;CYBA;AVPR1A;KSR2;ACE2;ADRB3;IL1B;MYH9;TP53;TLR4;LTF;RAMP2;CALCA;LHB;NEDD4L;ADRB1;ATP1A2;ADRB2;RELA;ADCY5;CRHR2;MC2R;HRH2;HMOX1;DRD1;VHL;CHGA;SLC12A3;JUN;TGFB1;F12;CAV1;FN1;GCG;FMO3;ESR2;MTOR;VEGFA;POMC;GCLC;IL6;PROC;CYP11B2;FXYD2;GNAS;NOX4;GNB3;MYD88;NFE2L2
