#rank	DIAMOnD_node	p_hyper
1	HSP90AA1	1.9933887516241413e-09
2	GNG8	1.9064380733830038e-08
3	PRKCA	2.2274418656713348e-08
4	THBS1	2.3428963466923616e-08
5	FGA	4.880890346207912e-09
6	STUB1	2.956395842857772e-08
7	PSMD2	2.3239583814571476e-08
8	MAPK1	4.7797681099273595e-08
9	SP1	2.0051149930649545e-08
10	KEAP1	3.6476204789012065e-08
11	SQSTM1	4.296281269945425e-08
12	CALM1	1.64192964532399e-08
13	ARNT	9.84691624482433e-08
14	HIF3A	1.041585260900947e-07
15	ITGB1	2.8825973632807424e-07
16	VCP	1.2838536356849097e-07
17	SERPINA1	8.442233046381637e-08
18	KLK10	4.979107898179578e-08
19	ELANE	1.1758432077900698e-08
20	CP	2.766513073439977e-08
21	HPX	1.1681336904029296e-08
22	ORM1	6.605665315069067e-09
23	PHF11	1.8589982634006414e-09
24	TF	5.574706352324534e-10
25	GC	1.7755003231891487e-10
26	EGFL8	2.7337145115183526e-11
27	FGB	4.875466918676417e-12
28	P2RX6	6.449122089205355e-12
29	SERPINA3	1.290894444888173e-12
30	PRR4	2.7896333558584033e-12
31	STATH	3.1998870632549895e-13
32	AGPAT1	3.5750367973366402e-12
33	FGG	1.7686774557322212e-11
34	UBE2U	3.5000001986230142e-12
35	SERPING1	2.026891801256099e-12
36	CIR1	3.518746336154314e-13
37	C3	2.413036434406489e-13
38	ITIH4	1.0252407868544837e-12
39	GDPD1	1.7350280143467817e-12
40	A2M	4.087266953500886e-13
41	MATN2	3.675809817071076e-13
42	ITIH1	1.0837276244551215e-12
43	RHBDD1	2.4432678751847883e-13
44	ORM2	1.4865988622607767e-13
45	CCR1	2.9178252466938715e-13
46	TTR	8.795344064113116e-14
47	F2	2.0236915750591252e-13
48	CFB	2.9218525325409907e-13
49	SARAF	4.11658517526866e-13
50	PLG	2.8290490096136076e-14
51	ITIH2	8.045566086272684e-14
52	SCGB1D1	3.6357782814562646e-13
53	HBB	7.983435372828651e-13
54	FNDC1	2.6137499499109493e-13
55	IGHG1	2.1293813130598896e-13
56	IGHG2	1.787640992817267e-14
57	IGKC	2.2122891723996374e-14
58	ITLN2	1.4523374336452619e-15
59	PDE6D	4.75469536512547e-15
60	SFXN4	9.31827467927781e-15
61	PPP2R2B	8.28423094142259e-14
62	IGHG3	3.0104486621600282e-15
63	ST6GALNAC6	9.344936302250977e-15
64	IGLL5	1.3543505713428421e-15
65	GOT1	5.004753269186308e-15
66	IGHG4	3.640175020341058e-15
67	HCN1	1.2151219082171624e-14
68	IGHM	2.057696991641408e-14
69	MBNL1	4.114406317712086e-15
70	CERS3	6.2930016160418376e-15
71	IGLC2	2.7258423656087173e-14
72	GJB5	8.701217335907709e-15
73	LCN1	1.4038524790273337e-14
74	LCN2	2.241570903013105e-14
75	STX17	3.738290811800477e-15
76	SSUH2	4.456253801928578e-15
77	CFH	9.859022192877567e-16
78	PLA2G4D	3.2980035906245768e-15
79	FOXO1	5.549581868972805e-15
80	CALML5	9.78618838091189e-16
81	DDX19B	1.6847679558122754e-15
82	EBF2	8.509654480127462e-15
83	EVPL	3.6829752648847354e-15
84	IGHA1	6.648984265403232e-15
85	DDX31	5.669387643302209e-15
86	RIPPLY3	9.931579063824495e-15
87	SERPINB3	2.6099964334313462e-15
88	AZGP1	6.467661505440291e-16
89	TMEM176B	8.98252934677154e-16
90	OR2A4	1.1670560903640818e-15
91	ALDH3A1	1.1909823040239028e-16
92	NDRG2	1.283327683558027e-16
93	IVL	1.50996213409939e-16
94	C18orf21	4.029161639537794e-17
95	SERPINB4	3.366418539450313e-17
96	SULT2B1	5.060668473083966e-17
97	TREX2	1.0209936749111932e-16
98	SSBP2	6.305093524633095e-18
99	TYMP	4.708970822033185e-19
100	ANXA8	1.8444169950634353e-17
