Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,"positive regulation of transcription, DNA-templated (GO:0045893)",63/1183,3.648190696378877e-52,6.5047240116435375e-49,0,0,28.55067567567568,3381.5475513149045,ATF2;THRB;ETS1;ETS2;KAT5;HNF4A;AKT1;EP300;TP63;NCOA1;NCOA2;CHUK;NCOA6;NCOA3;ARNT;SIRT1;RUNX2;KAT2B;CREB1;RARA;PGR;SQSTM1;ATF3;PPARD;HDAC4;HDAC3;HDAC1;SRF;NR1I2;FOXO3;RXRA;PLAGL1;NRIP1;E2F1;ABL1;PPARGC1A;RXRG;ESRRA;SMAD2;CREBBP;SMAD4;SMAD3;JUND;NFYA;STAT1;ZBTB16;NR1H2;STAT3;NR1H3;NR0B2;PML;NFKB1;SMARCA4;NFKB2;NFKBIA;NR4A1;PSMC5;KLF5;SP1;SP3;BCL3;CTNNB1;TP73
GO_Biological_Process_2021,regulation of transcription by RNA polymerase II (GO:0006357),75/2206,7.437800658691894e-51,6.630799287223822e-48,0,0,25.015016424213982,2887.3648884360523,RB1;ATF2;CDKN1A;THRB;ETS1;ETS2;NR3C2;CCND1;KAT5;SUMO1;PPP1R13L;HNF4A;EP300;TP63;NCOA1;PIAS3;NCOA2;CHUK;NCOA6;NCOA3;ARNT;SIRT1;RUNX2;PIAS2;PIAS1;NCOR2;KAT2B;CREB1;NCOR1;RARA;PGR;SQSTM1;ATF3;PPARD;HDAC4;HDAC3;HDAC1;SRF;NR1I2;FOXO3;RXRA;PLAGL1;NRIP1;E2F1;ABL1;PPARGC1A;RXRG;ESRRA;SMAD2;CREBBP;SMAD4;UBE2I;SMAD3;JUND;NFYA;CDKN2A;STAT1;ZBTB16;NR1H2;STAT3;NR1H3;NR0B2;NFKB1;SMARCA4;NFKB2;NFKBIA;NR4A1;PSMC5;KLF5;SP1;SP3;MDM2;CTNNB1;MDM4;TP73
GO_Biological_Process_2021,positive regulation of transcription by RNA polymerase II (GO:0045944),55/908,2.467462815253957e-47,1.4664953998659356e-44,0,0,27.291520125048848,2928.879788449124,ATF2;THRB;ETS1;KAT5;HNF4A;EP300;TP63;NCOA1;NCOA2;CHUK;NCOA6;NCOA3;ARNT;SIRT1;RUNX2;KAT2B;CREB1;RARA;PGR;SQSTM1;ATF3;PPARD;HDAC4;HDAC3;HDAC1;SRF;NR1I2;FOXO3;RXRA;PLAGL1;NRIP1;E2F1;ABL1;PPARGC1A;RXRG;ESRRA;SMAD2;CREBBP;SMAD4;SMAD3;JUND;STAT1;NR1H2;STAT3;NR1H3;NFKB1;SMARCA4;NFKB2;NFKBIA;NR4A1;KLF5;SP1;SP3;CTNNB1;TP73
GO_Biological_Process_2021,"regulation of transcription, DNA-templated (GO:0006355)",72/2244,2.9386118584503973e-46,1.3098862359042646e-43,0,0,20.98816101026046,2200.419305011624,RB1;ATF2;CDKN1A;ETS1;ETS2;NR3C2;DNMT3L;KAT5;SUMO1;PPP1R13L;HNF4A;AKT1;EP300;TP63;NCOA1;PIAS3;NCOA2;CHUK;NCOA6;ARNT;SIRT1;RUNX2;PIAS2;PIAS1;NCOR2;CREB1;NCOR1;RARA;PGR;ATF3;PPARD;HDAC4;HDAC3;HDAC1;SRF;NR1I2;FOXO3;RXRA;PLAGL1;E2F1;ABL1;PPARGC1A;RXRG;ESRRA;SMAD2;CREBBP;SMAD4;UBE2I;SMAD3;JUND;NFYA;CDKN2A;STAT1;ZBTB16;NR1H2;STAT3;NR1H3;NR0B2;PML;NFKB1;SMARCA4;NFKB2;NR4A1;PSMC5;KLF5;SP1;SP3;BCL3;MDM2;CTNNB1;MDM4;TP73
GO_Biological_Process_2021,positive regulation of nucleic acid-templated transcription (GO:1903508),41/511,5.130733432832381e-39,1.829619542148027e-36,0,0,28.72809231878832,2532.8286345410934,HDAC4;HDAC1;NR1I2;FOXO3;ETS1;ETS2;RXRA;KAT5;HNF4A;E2F1;AKT1;EP300;PPARGC1A;TP63;SMAD2;NCOA1;CREBBP;SMAD4;SMAD3;CHUK;NFYA;NCOA6;STAT1;ZBTB16;NR1H2;STAT3;NR1H3;NR0B2;RUNX2;PML;NFKB1;SMARCA4;PSMC5;CREB1;SP1;SP3;BCL3;RARA;CTNNB1;TP73;PPARD
GO_Biological_Process_2021,"negative regulation of transcription, DNA-templated (GO:0045892)",46/948,2.6868351967620172e-34,7.984378593044461e-32,0,0,17.941775478360846,1386.8907969079255,RB1;HDAC4;HDAC3;THRB;HDAC1;NR1I2;FOXO3;ETS2;DNMT3L;RXRA;CCND1;KAT5;SUMO1;HNF4A;NRIP1;E2F1;EP300;TP63;SMAD2;CREBBP;SMAD4;UBE2I;SMAD3;CDKN2A;STAT1;ZBTB16;NR1H2;STAT3;NR1H3;NR0B2;SIRT1;RUNX2;PML;NFKB1;SMARCA4;NCOR2;CREB1;NCOR1;SP3;BCL3;MDM2;RARA;CTNNB1;MDM4;ATF3;PPARD
GO_Biological_Process_2021,negative regulation of transcription by RNA polymerase II (GO:0000122),37/684,9.953304443472479e-29,2.5352488318159187e-26,0,0,17.476533941758053,1126.8355816607184,RB1;HDAC4;HDAC3;THRB;HDAC1;SRF;NR1I2;FOXO3;ETS2;RXRA;CCND1;KAT5;SUMO1;NRIP1;E2F1;EP300;SMAD2;CREBBP;SMAD4;UBE2I;SMAD3;STAT1;ZBTB16;NR1H2;STAT3;NR1H3;NR0B2;SIRT1;NFKB1;SMARCA4;NCOR2;NCOR1;MDM2;RARA;MDM4;ATF3;PPARD
GO_Biological_Process_2021,transcription initiation from RNA polymerase II promoter (GO:0006367),21/140,1.5110360955341963e-25,3.36772169792184e-23,0,0,44.18689501116902,2525.361989380777,ESRRA;CREBBP;HDAC3;THRB;HDAC1;NR1H2;NR1I2;NR1H3;NR0B2;NR3C2;NCOR2;NR4A1;KAT2B;RXRA;NCOR1;HNF4A;RARA;PGR;PPARGC1A;RXRG;PPARD
GO_Biological_Process_2021,"DNA-templated transcription, initiation (GO:0006352)",22/168,2.1947215342454727e-25,4.2626642642897544e-23,0,0,38.16192483315771,2166.779602523901,ESRRA;CREBBP;HDAC3;THRB;NCOA6;HDAC1;NR1H2;NR1I2;NR1H3;NR0B2;NR3C2;NCOR2;NR4A1;KAT2B;RXRA;NCOR1;HNF4A;RARA;PGR;PPARGC1A;RXRG;PPARD
GO_Biological_Process_2021,negative regulation of nucleic acid-templated transcription (GO:1903507),30/464,2.390725891357125e-25,4.2626642642897544e-23,0,0,19.222514812376563,1089.7826144078556,RB1;HDAC4;HDAC3;HDAC1;NR1I2;DNMT3L;KAT5;SUMO1;HNF4A;E2F1;TP63;SMAD2;SMAD4;UBE2I;CDKN2A;ZBTB16;NR1H2;NR0B2;SIRT1;RUNX2;PML;SMARCA4;NCOR2;NCOR1;SP3;BCL3;MDM2;RARA;CTNNB1;PPARD
