Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2021,RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629),33/190,1.7310641767766166e-42,3.9468263230506846e-40,0,0,61.937351459264185,5955.885654926575,RB1;HDAC4;ATF2;HDAC3;HDAC1;NR1I2;RXRA;HNF4A;NRIP1;EP300;PPARGC1A;GTF2I;NCOA1;PIAS3;NCOA2;CREBBP;SMAD3;CDKN2A;STAT1;NCOA3;STAT3;ARNT;SIRT1;PIAS2;SMARCA4;PIAS1;NFKBIA;NCOR2;CREB1;NCOR1;SP1;CTNNB1;PPARD
GO_Molecular_Function_2021,DNA-binding transcription factor binding (GO:0140297),26/208,2.0049148847675744e-29,2.2856029686350347e-27,0,0,38.06563706563706,2515.353167050584,RB1;HDAC4;ATF2;HDAC1;SRF;KAT5;HNF4A;EP300;NBN;GTF2I;SMAD2;PIAS3;CREBBP;SMAD3;STAT1;STAT3;SIRT1;PIAS2;PIAS1;PSMC5;CREB1;NCOR1;SP1;CTNNB1;TP73;PPARD
GO_Molecular_Function_2021,RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978),42/1149,4.228792334082196e-26,2.4104116304268518e-24,0,0,12.293337071301748,718.2418567977389,HDAC4;ATF2;THRB;HDAC1;SRF;NR1I2;FOXO3;ETS1;ETS2;NR3C2;RXRA;HNF4A;PLAGL1;NRIP1;E2F1;RXRG;TP63;ESRRA;SMAD2;SMAD4;SMAD3;JUND;NFYA;STAT1;ZBTB16;NR1H2;STAT3;NR1H3;ARNT;RUNX2;NFKB1;NFKB2;NR4A1;CREB1;KLF5;SP1;SP3;RARA;PGR;ATF3;TP73;PPARD
GO_Molecular_Function_2021,cis-regulatory region sequence-specific DNA binding (GO:0000987),42/1149,4.228792334082196e-26,2.4104116304268518e-24,0,0,12.293337071301748,718.2418567977389,HDAC4;ATF2;THRB;HDAC1;SRF;NR1I2;FOXO3;ETS1;ETS2;NR3C2;RXRA;HNF4A;PLAGL1;NRIP1;E2F1;RXRG;TP63;ESRRA;SMAD2;SMAD4;SMAD3;JUND;NFYA;STAT1;ZBTB16;NR1H2;STAT3;NR1H3;ARNT;RUNX2;NFKB1;NFKB2;NR4A1;CREB1;KLF5;SP1;SP3;RARA;PGR;ATF3;TP73;PPARD
GO_Molecular_Function_2021,sequence-specific double-stranded DNA binding (GO:1990837),35/712,1.087696001908104e-25,4.9598937687009545e-24,0,0,15.289285308487672,878.8367675410688,HDAC4;ATF2;THRB;SRF;NR1I2;FOXO3;ETS1;ETS2;NR3C2;RXRA;HNF4A;E2F1;ABL1;RXRG;ESRRA;SMAD4;SMAD3;JUND;NFYA;STAT3;NR1H3;ARNT;RUNX2;NFKB1;NFKB2;NR4A1;CREB1;NCOR1;KLF5;SP1;SP3;RARA;ATF3;TP73;PPARD
GO_Molecular_Function_2021,RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977),43/1359,2.77400196517078e-24,1.0541207467648965e-22,0,0,10.653122167119928,577.8440021085273,RB1;HDAC4;ATF2;THRB;HDAC1;SRF;NR1I2;FOXO3;ETS1;ETS2;NR3C2;RXRA;HNF4A;PLAGL1;NRIP1;E2F1;RXRG;TP63;ESRRA;SMAD2;SMAD4;SMAD3;JUND;NFYA;STAT1;ZBTB16;NR1H2;STAT3;NR1H3;ARNT;RUNX2;NFKB1;NFKB2;NR4A1;CREB1;KLF5;SP1;SP3;RARA;PGR;ATF3;TP73;PPARD
GO_Molecular_Function_2021,"DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)",25/333,1.09111271911734e-22,3.553909999410764e-21,0,0,21.203463203463205,1072.252222444895,ATF2;SRF;NR1I2;FOXO3;ETS1;HNF4A;PLAGL1;GTF2I;SMAD2;SMAD4;SMAD3;ZBTB16;NR1H2;STAT3;NFKB1;NFKB2;NR4A1;CREB1;KLF5;SP1;MDM2;MDM4;PGR;ATF3;TP73
GO_Molecular_Function_2021,DNA binding (GO:0003677),32/811,1.6331042498577314e-20,4.654347112094536e-19,0,0,11.55085705655818,526.2711303994143,HDAC4;THRB;FOXO3;ETS1;ETS2;RXRA;HNF4A;TDG;PLAGL1;E2F1;ABL1;EP300;NBN;PPARGC1A;TP63;ESRRA;SMAD2;CREBBP;SMAD4;SMAD3;NFYA;STAT1;ZBTB16;NR1H2;STAT3;NR1H3;ARNT;SMARCA4;NR4A1;SP1;PGR;PPARD
GO_Molecular_Function_2021,nuclear receptor binding (GO:0016922),17/120,2.297972733210908e-20,5.821530924134299e-19,0,0,39.367060474909344,1780.1656625068492,NCOA1;NCOA2;SMAD3;NCOA6;STAT1;NCOA3;NR1I2;SIRT1;SMARCA4;NCOR2;NR4A1;RXRA;NCOR1;NRIP1;CTNNB1;EP300;PPARGC1A
GO_Molecular_Function_2021,sequence-specific DNA binding (GO:0043565),29/707,5.290602082556149e-19,1.2062572748228021e-17,0,0,11.579999169055633,487.3232439992447,HDAC4;ATF2;THRB;SRF;NR1I2;FOXO3;ETS2;NR3C2;RXRA;HNF4A;E2F1;ABL1;PPARGC1A;RXRG;ESRRA;SMAD4;SMAD3;JUND;ARNT;RUNX2;NFKB2;NR4A1;CREB1;KLF5;SP1;SP3;RARA;ATF3;PPARD
