Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Pathways in cancer,39/531,1.7453149251824237e-35,3.4208172533575504e-33,0,0,25.2203118752499,2018.470921058072,RB1;ITGB1;CDKN1A;HDAC1;KEAP1;ETS1;RXRA;CCND1;E2F1;ABL1;GNG8;AKT1;EP300;MAPK1;SKP2;RXRG;SMAD2;NCOA1;CREBBP;SMAD4;HSP90AA1;SMAD3;CHUK;CDKN2A;STAT1;ZBTB16;NCOA3;STAT3;ARNT;PML;NFKB1;NFKB2;NFKBIA;SP1;MDM2;RARA;CTNNB1;CALM1;PPARD
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,23/219,2.957135093698496e-24,2.897992391824526e-22,0,0,30.0286244367877,1626.8854488001843,RB1;SMAD2;ATF2;CREBBP;SMAD4;CDKN1A;SMAD3;CHUK;CDKN2A;SRF;ETS1;NFKB1;ETS2;NFKB2;NFKBIA;KAT2B;CREB1;CCND1;KAT5;E2F1;AKT1;EP300;MAPK1
KEGG_2021_Human,Thyroid hormone signaling pathway,19/121,1.4429908121476526e-23,7.8395738228045e-22,0,0,45.52916969256839,2394.5037488302837,NCOA1;NCOA2;CREBBP;HDAC3;THRB;STAT1;SRC;HDAC1;NCOA3;KAT2B;RXRA;NCOR1;CCND1;MDM2;AKT1;CTNNB1;EP300;MAPK1;RXRG
KEGG_2021_Human,Viral carcinogenesis,22/203,1.5999130250621425e-23,7.8395738228045e-22,0,0,30.728006799830005,1612.8979547623344,RB1;HDAC4;ATF2;USP7;CREBBP;CDKN1A;HDAC3;CDKN2A;SRC;HDAC1;SRF;STAT3;NFKB1;NFKB2;NFKBIA;KAT2B;CREB1;CCND1;MDM2;EP300;MAPK1;SKP2
KEGG_2021_Human,Chronic myeloid leukemia,15/76,2.2598690353577274e-20,8.858686618602293e-19,0,0,57.39344262295082,2596.272440742808,RB1;CDKN1A;SMAD4;SMAD3;CHUK;HDAC1;CDKN2A;NFKB1;NFKBIA;CCND1;ABL1;E2F1;MDM2;AKT1;MAPK1
KEGG_2021_Human,Epstein-Barr virus infection,19/202,3.3113271494639484e-19,1.0817002021582229e-17,0,0,25.27308911826216,1075.41461738237,RB1;USP7;CDKN1A;CHUK;STAT1;HDAC1;STAT3;NFKB1;NFKB2;NFKBIA;NCOR2;PSMC5;CCND1;PSMD4;PSMD2;E2F1;MDM2;AKT1;SKP2
KEGG_2021_Human,Prostate cancer,15/97,1.1319554735238274e-18,3.095562400936309e-17,0,0,42.64992826398852,1762.4052871791555,RB1;CREBBP;CDKN1A;HSP90AA1;CHUK;NFKB1;NFKBIA;CREB1;CCND1;MDM2;E2F1;AKT1;EP300;MAPK1;CTNNB1
KEGG_2021_Human,Pancreatic cancer,14/76,1.263494857525024e-18,3.095562400936309e-17,0,0,52.08777194298575,2146.6751193706177,RB1;SMAD2;CDKN1A;SMAD4;SMAD3;CHUK;CDKN2A;STAT1;STAT3;NFKB1;CCND1;E2F1;AKT1;MAPK1
KEGG_2021_Human,Cellular senescence,17/156,2.2934223475979937e-18,4.994564223657853e-17,0,0,29.11822830891913,1182.680126926049,RB1;SMAD2;CDKN1A;SMAD3;CDKN2A;FOXO3;ETS1;SIRT1;NFKB1;CCND1;E2F1;MDM2;AKT1;MAPK1;NBN;CALM1;SQSTM1
KEGG_2021_Human,Human cytomegalovirus infection,19/225,2.5758141764473736e-18,5.0485957858368517e-17,0,0,22.425146829677573,908.2266543116394,RB1;ATF2;CDKN1A;CHUK;CDKN2A;SRC;STAT3;NFKB1;NFKBIA;CREB1;CCND1;SP1;E2F1;MDM2;GNG8;AKT1;CTNNB1;MAPK1;CALM1
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,18/193,3.621873324679839e-18,6.453519742156802e-17,0,0,24.742160278745644,993.6337825487808,RB1;CREBBP;CDKN1A;CHUK;STAT1;SRC;STAT3;NFKB1;NFKBIA;CREB1;CCND1;E2F1;GNG8;AKT1;CTNNB1;EP300;MAPK1;CALM1
KEGG_2021_Human,Hepatitis B,17/162,4.404685294673347e-18,7.194319314633134e-17,0,0,27.90486082260075,1115.1860310364946,RB1;ATF2;CREBBP;SMAD4;CDKN1A;SMAD3;CHUK;STAT1;SRC;STAT3;NFKB1;NFKBIA;CREB1;E2F1;AKT1;EP300;MAPK1
KEGG_2021_Human,FoxO signaling pathway,15/131,1.2189317421248298e-16,1.837774011203589e-15,0,0,30.0973630831643,1102.8693121187298,USP7;CREBBP;SMAD4;CDKN1A;SMAD3;CHUK;STAT3;FOXO3;SIRT1;CCND1;MDM2;AKT1;EP300;MAPK1;SKP2
KEGG_2021_Human,Cell cycle,14/124,1.6481978645667833e-15,2.3074770103934967e-14,0,0,29.287526427061312,996.920862359748,RB1;SMAD2;CREBBP;SMAD4;CDKN1A;SMAD3;CDKN2A;HDAC1;CCND1;E2F1;MDM2;ABL1;EP300;SKP2
KEGG_2021_Human,Hepatitis C,15/157,1.9143595473705316e-15,2.5014298085641606e-14,0,0,24.55426677713339,832.1292032233323,RB1;CDKN1A;CHUK;STAT1;STAT3;NR1H3;NFKB1;PIAS1;NFKBIA;RXRA;CCND1;E2F1;AKT1;CTNNB1;MAPK1
KEGG_2021_Human,Th17 cell differentiation,13/107,6.710370029054985e-15,8.220203285592358e-14,0,0,31.484225972120324,1027.491565106429,SMAD2;SMAD4;HSP90AA1;SMAD3;CHUK;STAT1;STAT3;NFKB1;NFKBIA;RXRA;RARA;MAPK1;RXRG
KEGG_2021_Human,MicroRNAs in cancer,18/310,1.5871546566864957e-14,1.8298959571209009e-13,0,0,14.740394253257602,468.3649487069744,HDAC4;CREBBP;CDKN1A;UBE2I;CDKN2A;HDAC1;STAT3;SIRT1;THBS1;NFKB1;CCND1;E2F1;MDM2;ABL1;EP300;MAPK1;MDM4;TP63
KEGG_2021_Human,Small cell lung cancer,12/92,3.2260118046261306e-14,3.512768409481787e-13,0,0,33.78409090909091,1049.5009145808654,ITGB1;RB1;NFKBIA;CDKN1A;RXRA;CCND1;CHUK;E2F1;AKT1;SKP2;RXRG;NFKB1
KEGG_2021_Human,Chemical carcinogenesis,16/239,5.768414579038712e-14,5.950575039429408e-13,0,0,16.807174887892376,512.3464574888121,RB1;ATF2;HSP90AA1;SRC;STAT3;ARNT;NFKB1;RXRA;CREB1;KLF5;CCND1;E2F1;AKT1;MAPK1;PGR;RXRG
KEGG_2021_Human,Non-small cell lung cancer,11/72,6.515029237337817e-14,6.38472865259106e-13,0,0,40.19690550745994,1220.4616448380625,RB1;CDKN1A;RXRA;CCND1;CDKN2A;STAT3;E2F1;AKT1;MAPK1;FOXO3;RXRG
KEGG_2021_Human,Estrogen signaling pathway,13/137,1.7530664886147181e-13,1.636195389373737e-12,0,0,23.83092324805339,699.967589323808,NCOA1;ATF2;NCOA2;HSP90AA1;SRC;NCOA3;CREB1;SP1;RARA;AKT1;MAPK1;PGR;CALM1
KEGG_2021_Human,Bladder cancer,9/41,4.147701523242061e-13,3.695224993433835e-12,0,0,61.40521978021978,1750.727406729702,RB1;CDKN1A;CCND1;SRC;CDKN2A;E2F1;MDM2;MAPK1;THBS1
