Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Generic Transcription Pathway R-HSA-212436,61/1190,3.8605440493447126e-49,3.3548127788805562e-46,0,0,26.00511003611092,2898.942043058612,RB1;CDKN1A;THRB;NR3C2;CCND1;PSMD4;KAT5;SUMO1;PPP1R13L;PSMD2;AKT1;EP300;SKP2;TP63;USP7;SIRT1;RUNX2;NCOR2;KAT2B;CREB1;NCOR1;RARA;PGR;PPARD;HDAC4;HDAC3;SRC;HDAC1;NR1I2;FOXO3;THBS1;RXRA;PLAGL1;E2F1;ABL1;MAPK1;PPARGC1A;RXRG;ESRRA;SMAD2;CREBBP;SMAD4;UBE2I;SMAD3;NFYA;CDKN2A;STAT1;NR1H2;NR1H3;NR0B2;PML;NFKB1;SMARCA4;NR4A1;PSMC5;MDM2;CTNNB1;MDM4;STUB1;CALM1;TP73
Reactome_2022,Gene Expression (Transcription) R-HSA-74160,64/1449,4.551673908456944e-48,1.9777023132245426e-45,0,0,23.765744083433614,2590.670238729508,RB1;CDKN1A;THRB;NR3C2;DNMT3L;CCND1;PSMD4;KAT5;SUMO1;PPP1R13L;PSMD2;AKT1;EP300;SKP2;TP63;USP7;HSP90AA1;SIRT1;RUNX2;NCOR2;KAT2B;CREB1;NCOR1;RARA;PGR;PPARD;HDAC4;HDAC3;SRC;HDAC1;NR1I2;FOXO3;THBS1;RXRA;TDG;PLAGL1;E2F1;ABL1;MAPK1;PPARGC1A;RXRG;ESRRA;SMAD2;CREBBP;SMAD4;UBE2I;SMAD3;NFYA;CDKN2A;STAT1;NR1H2;NR1H3;NR0B2;PML;NFKB1;SMARCA4;NR4A1;PSMC5;MDM2;CTNNB1;MDM4;STUB1;CALM1;TP73
Reactome_2022,RNA Polymerase II Transcription R-HSA-73857,61/1312,1.3438124970922763e-46,3.8925768665772937e-44,0,0,23.31650576974318,2462.7686984438733,RB1;CDKN1A;THRB;NR3C2;CCND1;PSMD4;KAT5;SUMO1;PPP1R13L;PSMD2;AKT1;EP300;SKP2;TP63;USP7;SIRT1;RUNX2;NCOR2;KAT2B;CREB1;NCOR1;RARA;PGR;PPARD;HDAC4;HDAC3;SRC;HDAC1;NR1I2;FOXO3;THBS1;RXRA;PLAGL1;E2F1;ABL1;MAPK1;PPARGC1A;RXRG;ESRRA;SMAD2;CREBBP;SMAD4;UBE2I;SMAD3;NFYA;CDKN2A;STAT1;NR1H2;NR1H3;NR0B2;PML;NFKB1;SMARCA4;NR4A1;PSMC5;MDM2;CTNNB1;MDM4;STUB1;CALM1;TP73
Reactome_2022,SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,29/168,3.822056729052149e-37,8.303418243865793e-35,0,0,58.067585368325055,4869.249227215932,HDAC4;THRB;HDAC1;NR1I2;NR3C2;RXRA;SUMO1;TDG;NRIP1;EP300;PPARGC1A;NCOA1;PIAS3;NCOA2;CREBBP;UBE2I;CDKN2A;NR1H2;NR1H3;PML;PIAS2;PIAS1;NFKB2;NFKBIA;NCOR2;SP3;MDM2;RARA;PGR
Reactome_2022,SUMOylation R-HSA-2990846,29/174,1.137786288519954e-36,1.9774725694476804e-34,0,0,55.647887323943664,4605.640568156784,HDAC4;THRB;HDAC1;NR1I2;NR3C2;RXRA;SUMO1;TDG;NRIP1;EP300;PPARGC1A;NCOA1;PIAS3;NCOA2;CREBBP;UBE2I;CDKN2A;NR1H2;NR1H3;PML;PIAS2;PIAS1;NFKB2;NFKBIA;NCOR2;SP3;MDM2;RARA;PGR
Reactome_2022,Signaling By Nuclear Receptors R-HSA-9006931,30/260,6.274978559165501e-33,9.088260613191368e-31,0,0,36.65217391304348,2717.7124406327966,HDAC3;SRC;HDAC1;SRF;FOXO3;RXRA;CCND1;KAT5;NRIP1;GNG8;AKT1;EP300;MAPK1;RXRG;NCOA1;NCOA2;CREBBP;HSP90AA1;JUND;NCOA3;NR1H2;NR1H3;NCOR2;KAT2B;CREB1;NCOR1;RARA;PGR;CALM1;PPARD
Reactome_2022,Cellular Responses To Stress R-HSA-2262752,39/722,2.2874318792316123e-30,2.8396832900746723e-28,0,0,17.988695005160455,1227.7306476411288,RB1;VCP;CDKN1A;HDAC3;KEAP1;ETS1;ETS2;NR3C2;RXRA;PSMD4;KAT5;PSMD2;NRIP1;E2F1;AKT1;EP300;MAPK1;SKP2;PPARGC1A;NCOA1;NCOA2;CREBBP;HSP90AA1;NFYA;NCOA6;HSPA4;CDKN2A;STAT3;SIRT1;NFKB1;NCOR2;PSMC5;CREB1;NCOR1;MDM2;MDM4;PGR;SQSTM1;ATF3
Reactome_2022,Cellular Responses To Stimuli R-HSA-8953897,39/736,4.728161718695647e-30,5.135965666933147e-28,0,0,17.614530658324906,1189.4038553924615,RB1;VCP;CDKN1A;HDAC3;KEAP1;ETS1;ETS2;NR3C2;RXRA;PSMD4;KAT5;PSMD2;NRIP1;E2F1;AKT1;EP300;MAPK1;SKP2;PPARGC1A;NCOA1;NCOA2;CREBBP;HSP90AA1;NFYA;NCOA6;HSPA4;CDKN2A;STAT3;SIRT1;NFKB1;NCOR2;PSMC5;CREB1;NCOR1;MDM2;MDM4;PGR;SQSTM1;ATF3
Reactome_2022,Post-translational Protein Modification R-HSA-597592,47/1383,3.269059981808385e-28,3.15645902687943e-26,0,0,12.322166986781154,779.8438271715237,HDAC4;VCP;THRB;HDAC1;NR1I2;KEAP1;THBS1;NR3C2;RXRA;PSMD4;SUMO1;PSMD2;TDG;NRIP1;EP300;SKP2;PPARGC1A;SMAD2;NCOA1;PIAS3;NCOA2;FGA;USP7;CREBBP;SMAD4;UBE2I;SMAD3;CDKN2A;ZBTB16;NR1H2;NR1H3;COMMD1;PML;PIAS2;PIAS1;NFKB2;NFKBIA;NCOR2;KAT2B;PSMC5;SP3;MDM2;RARA;MDM4;PGR;CALM1;SQSTM1
Reactome_2022,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,31/424,7.617687218859112e-28,6.619770193188569e-26,0,0,22.30029133016189,1392.4727796355066,HDAC4;VCP;CDKN1A;HDAC3;SRC;HDAC1;FOXO3;PSMD4;PSMD2;AKT1;EP300;MAPK1;SMAD2;FGA;CREBBP;SMAD4;HSP90AA1;SMAD3;CHUK;STAT1;STAT3;NCOR2;NR4A1;KAT2B;PSMC5;CREB1;NCOR1;MDM2;CTNNB1;CALM1;SQSTM1
Reactome_2022,Signal Transduction R-HSA-162582,57/2465,1.403883159829412e-26,1.1090676962652354e-24,0,0,9.629181797110409,573.2056483706286,ITGB1;CDKN1A;CCND1;PSMD4;KAT5;PSMD2;AKT1;EP300;NCOA1;NCOA2;FGA;USP7;HSP90AA1;CHUK;NCOA3;NCOR2;KAT2B;CREB1;NCOR1;RARA;PGR;SQSTM1;PPARD;HDAC4;VCP;HDAC3;SRC;HDAC1;SRF;FOXO3;THBS1;RXRA;NRIP1;E2F1;ABL1;GNG8;MAPK1;RXRG;SMAD2;CREBBP;SMAD4;SMAD3;JUND;STAT1;NR1H2;STAT3;NR1H3;PML;NFKB1;SMARCA4;NFKBIA;NR4A1;PSMC5;MDM2;CTNNB1;STUB1;CALM1
Reactome_2022,Metabolism Of Proteins R-HSA-392499,51/1890,2.860994154654276e-26,2.071836600328804e-24,0,0,10.221959583180745,601.2152169123418,THRB;KEAP1;NR3C2;PSMD4;SUMO1;PSMD2;EP300;SKP2;NCOA1;PIAS3;NCOA2;FGA;USP7;COMMD1;PIAS2;PIAS1;NCOR2;KAT2B;RARA;PGR;SQSTM1;HDAC4;VCP;HDAC3;HDAC1;NR1I2;THBS1;RXRA;TDG;NRIP1;GNG8;PPARGC1A;SMAD2;CREBBP;SMAD4;UBE2I;SMAD3;CDKN2A;ZBTB16;NR1H2;STAT3;NR1H3;PML;NFKB2;NFKBIA;PSMC5;SP3;MDM2;CTNNB1;MDM4;CALM1
Reactome_2022,SUMOylation Of Intracellular Receptors R-HSA-4090294,14/29,1.7218482661013502e-25,1.1509893409554408e-23,0,0,215.8062015503876,12305.53484635027,HDAC4;PIAS3;THRB;UBE2I;NR1H2;NR1I2;NR1H3;PIAS2;NR3C2;PIAS1;RXRA;SUMO1;RARA;PGR
Reactome_2022,Disease R-HSA-1643685,48/1736,6.3567909997887105e-25,3.94575098486885e-23,0,0,9.959168793292015,554.8761214328771,RB1;ITGB1;HDAC4;VCP;CDKN1A;HDAC3;SRC;HDAC1;KEAP1;FOXO3;THBS1;CCND1;PSMD4;KAT5;SUMO1;PSMD2;E2F1;ABL1;GNG8;AKT1;EP300;MAPK1;SKP2;SMAD2;FGA;CREBBP;SMAD4;HSP90AA1;UBE2I;SMAD3;CHUK;CDKN2A;STAT1;STAT3;PML;NFKB1;NFKB2;NFKBIA;NCOR2;NR4A1;KAT2B;PSMC5;CREB1;NCOR1;MDM2;CTNNB1;CALM1;SQSTM1
Reactome_2022,Transcriptional Regulation By RUNX2 R-HSA-8878166,19/119,1.031752449073626e-23,5.97728585496654e-22,0,0,46.44444444444444,2458.2207689957663,RB1;ESRRA;HDAC4;SMAD4;CDKN1A;HDAC3;STAT1;SRC;RUNX2;PSMC5;CCND1;PSMD4;PSMD2;ABL1;AKT1;MAPK1;STUB1;SKP2;PPARGC1A
Reactome_2022,Nuclear Receptor Transcription Pathway R-HSA-383280,15/53,5.450245490169604e-23,2.960164581848366e-21,0,0,92.23839009287926,4728.490058022288,ESRRA;THRB;NR1H2;NR1I2;NR1H3;NR0B2;NR3C2;NCOR2;NR4A1;NCOR1;RXRA;RARA;PGR;RXRG;PPARD
Reactome_2022,ESR-mediated Signaling R-HSA-8939211,21/188,9.349246375223026e-23,4.779114764746359e-21,0,0,31.410065944061245,1593.2492545434986,NCOA1;NCOA2;CREBBP;HSP90AA1;JUND;SRC;HDAC1;NCOA3;SRF;FOXO3;KAT2B;CREB1;CCND1;KAT5;NRIP1;GNG8;AKT1;EP300;MAPK1;PGR;CALM1
Reactome_2022,Developmental Biology R-HSA-1266738,37/1073,7.084086740593363e-22,3.420039654208685e-20,0,0,10.693877551020408,520.7813682995342,ITGB1;CDKN1A;HDAC3;SRC;FOXO3;RXRA;PSMD4;PSMD2;E2F1;ABL1;AKT1;EP300;MAPK1;PPARGC1A;TP63;SMAD2;NCOA1;NCOA2;CREBBP;SMAD4;HSP90AA1;SMAD3;NCOA6;NCOA3;STAT3;PML;NFKB1;PIAS2;SMARCA4;NCOR2;KAT2B;PSMC5;CREB1;NCOR1;KLF5;RARA;CTNNB1
Reactome_2022,Transcriptional Regulation By RUNX3 R-HSA-8878159,16/95,1.7417276378643394e-20,7.966112196337425e-19,0,0,47.79023508137432,2174.303930852154,HDAC4;CDKN1A;CREBBP;SMAD4;SMAD3;SRC;CDKN2A;FOXO3;KAT2B;PSMC5;CCND1;PSMD4;PSMD2;MDM2;EP300;CTNNB1
Reactome_2022,Cellular Response To Chemical Stress R-HSA-9711123,19/182,4.46862242520812e-20,1.9416164437529284e-18,0,0,28.402862985685072,1265.4788149854255,NCOA1;NCOA2;CREBBP;VCP;HDAC3;NCOA6;CDKN2A;STAT3;KEAP1;NCOR2;PSMC5;RXRA;NCOR1;PSMD4;PSMD2;AKT1;EP300;SKP2;SQSTM1
Reactome_2022,SUMOylation Of Transcription Cofactors R-HSA-3899300,12/43,1.6648314217778914e-18,6.889230978690415e-17,0,0,87.40029325513197,3577.889006978281,NCOA1;NCOR2;NCOA2;PIAS3;CREBBP;UBE2I;SUMO1;NRIP1;EP300;PPARGC1A;PIAS2;PIAS1
