DOClass,Disease,DiseaseClass,EvidenceIndexGDA,EvidenceLevelGDA,FirstRef,Gene,GeneDPI,GeneDSI,GeneFullName,GenePLI,HPOClass,LastRef,NumDiseasesAssociatedToGene,NumGenesDisease,NumPMIDs,NumVariantsAssociatedToGene,NumVariantsDisease,NumVariantsGDA,PathwayIDs,PathwayNames,ProteinClass,ScoreGDA,SemanticType,Type,UnitProt,diseaseUMLSCUI,geneEnsemblIDs,geneNcbiID,geneNcbiType,numCTs,numberChemsIncludedInEvidence,numberPmidsWithChemsIncludedInEvidence
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.898042414355628,,1979.0,AGT,0.96,0.34,angiotensinogen,1.6654e-08,Abnormality of the cardiovascular system (01626),2020.0,108,301,85,74,371,0,"R-HSA-1430728,R-HSA-162582,R-HSA-392499","Metabolism,Signal Transduction,Metabolism of proteins",Enzyme modulator,1.0,Disease or Syndrome (T047),disease,"B0ZBE2,P01019,B2R5S1",C0020538,ENSG00000135744,183,protein-coding,45,22,26
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8859504132231405,,1975.0,REN,0.96,0.38,renin,1.7791e-12,Abnormality of the cardiovascular system (01626),2011.0,42,301,18,39,371,0,R-HSA-392499,Metabolism of proteins,Enzyme,1.0,Disease or Syndrome (T047),disease,P00797,C0020538,ENSG00000143839,5972,protein-coding,90,6,6
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8549222797927462,,1993.0,EDN1,0.96,0.35,endothelin 1,0.0044888,Abnormality of the cardiovascular system (01626),2006.0,74,301,14,9,371,0,"R-HSA-1266738,R-HSA-162582","Developmental Biology,Signal Transduction",Signaling,1.0,Disease or Syndrome (T047),disease,"P05305,Q6FH53",C0020538,ENSG00000078401,1906,protein-coding,18,6,5
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9158878504672896,,1989.0,NPPA,0.91,0.42,natriuretic peptide A,0.0013161,Abnormality of the cardiovascular system (01626),2020.0,57,301,8,59,371,0,"R-HSA-392499,R-HSA-397014,R-HSA-74160","Metabolism of proteins,Muscle contraction,Gene expression (Transcription)",,1.0,Disease or Syndrome (T047),disease,P01160,C0020538,ENSG00000175206,4878,protein-coding,4,2,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9379310344827586,,2002.0,ACE2,0.96,0.41,angiotensin converting enzyme 2,,Abnormality of the cardiovascular system (01626),2011.0,24,301,7,3,371,0,"R-HSA-1643685,R-HSA-392499","Disease,Metabolism of proteins",Enzyme,1.0,Disease or Syndrome (T047),disease,Q9BYF1,C0020538,ENSG00000130234,59272,protein-coding,3,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.847457627118644,,2008.0,TNF,0.96,0.23,tumor necrosis factor,0.85687,Abnormality of the cardiovascular system (01626),2020.0,308,301,5,9,371,0,"R-HSA-1266738,R-HSA-162582,R-HSA-168256","Developmental Biology,Signal Transduction,Immune System",Signaling,1.0,Disease or Syndrome (T047),disease,"P01375,Q5STB3",C0020538,ENSG00000232810,7124,protein-coding,30,5,4
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8230088495575221,,2016.0,IL6,0.96,0.23,interleukin 6,0.19935,Abnormality of the cardiovascular system (01626),2020.0,209,301,5,5,371,0,"R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160,R-HSA-8953897","Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli",,1.0,Disease or Syndrome (T047),disease,"B4DVM1,P05231,B5MC21,B4DNQ5,Q75MH2",C0020538,ENSG00000136244,3569,protein-coding,41,3,3
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.7399103139013453,,2001.0,NOS3,1.0,0.36,nitric oxide synthase 3,2.4053e-25,Abnormality of the cardiovascular system (01626),2009.0,125,301,5,14,371,1,"R-HSA-109582,R-HSA-1430728,R-HSA-162582,R-HSA-168256","Hemostasis,Metabolism,Signal Transduction,Immune System",,1.0,Disease or Syndrome (T047),disease,"A0S0A6,P29474",C0020538,ENSG00000164867,4846,protein-coding,3,2,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8735177865612648,,1996.0,AGTR1,0.91,0.41,angiotensin II receptor type 1,7.1609e-05,Abnormality of the cardiovascular system (01626),2016.0,38,301,4,53,371,0,"R-HSA-162582,R-HSA-5653656","Signal Transduction,Vesicle-mediated transport",G-protein coupled receptor,1.0,Disease or Syndrome (T047),disease,"D3DNG8,P30556,Q53YY0,A0A0A0MSE3,Q6NUP5",C0020538,ENSG00000144891,185,protein-coding,1,3,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8511904761904762,,2002.0,LEP,0.96,0.31,leptin,0.0070036,Abnormality of the cardiovascular system (01626),2016.0,59,301,4,66,371,0,"R-HSA-1266738,R-HSA-162582,R-HSA-392499","Developmental Biology,Signal Transduction,Metabolism of proteins",,1.0,Disease or Syndrome (T047),disease,"A4D0Y8,P41159",C0020538,ENSG00000174697,3952,protein-coding,13,0,0
